longitude,latitude,issue_type,issue_Description,ticket_created_date_time
-8927791.88084363,2976390.29641074,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/19 17:17:13.323+00
-8927925.68687156,2979233.31239229,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/19 17:37:23.860+00
-8927921.5680504,2970765.37753538,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/22 12:37:07.346+00
-8930742.62658609,2968975.79646923,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/24 08:24:47.525+00
-8935852.85913044,2970728.91131387,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/24 13:54:17.265+00
-8935704.91552718,2970379.45825535,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/24 13:56:48.346+00
-8931939.4224316,2967546.80988899,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/24 13:58:29.212+00
-8936311.606752,2970217.40485121,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/24 14:11:02.417+00
-8936281.55048949,2970256.71283516,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/24 14:12:15.794+00
-8933467.95035969,2971563.20698138,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/21 07:54:31.085+00
-8926107.17166996,2977785.51654128,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/18 09:03:39.734+00
-8926144.46369938,2977727.63736723,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/18 09:17:39.237+00
-8926173.51808647,2978029.89779903,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/18 10:08:47.011+00
-8933510.80836364,2972702.91499642,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/18 10:10:28.021+00
-8930975.28432184,2968482.02521567,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/18 10:11:35.125+00
-8930936.54513905,2968484.0027395,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/18 10:13:05.766+00
-8933529.73267708,2972450.46308434,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/18 10:14:38.463+00
-8933565.35491413,2972481.61754161,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/18 10:16:11.184+00
-8929604.38479272,2968752.57767016,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/18 10:17:35.464+00
-8925858.59524702,2979385.6942479,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/18 10:24:23.158+00
-8925882.64025703,2979811.06076334,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/18 10:27:25.287+00
-8925878.85539434,2979760.10023802,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/18 10:29:13.233+00
-8925570.50040485,2979933.5151785202,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/18 10:39:40.599+00
-8925543.2271296,2979989.67138441,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/18 10:41:01.704+00
-8925587.64360643,2980064.75281583,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/18 10:42:41.640+00
-8927639.37314124,2969338.19435162,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/25 07:45:13.581+00
-8925795.03181778,2980008.59632174,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/18 10:44:35.506+00
-8925920.60020339,2980036.79823456,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/18 10:48:16.868+00
-8925584.52666069,2979536.34605142,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/18 10:58:24.786+00
-8925470.42418263,2979772.84035271,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/18 11:12:43.587+00
-8930903.81720875,2967479.33134626,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/18 11:20:27.184+00
-8930905.59832061,2967533.21528584,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/18 11:21:37.240+00
-8924769.66798808,2980735.80249066,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/18 11:25:47.740+00
-8925050.63838284,2980728.13317762,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/18 11:28:36.781+00
-8927712.84400517,2968985.43722473,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/18 11:42:01.046+00
-8926989.93523195,2969940.89222937,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/18 11:49:40.253+00
-8927879.2666439,2979248.77314135,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/28 07:23:32.069+00
-8927867.02149991,2978468.21124713,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/28 07:25:37.658+00
-8928235.15505597,2977752.24835558,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/28 08:25:08.444+00
-8928294.37702507,2977749.77488755,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/28 08:25:53.618+00
-8933488.3218265,2971575.32186277,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/28 08:51:01.596+00
